brightness,contrast,saturation,hue,rotation,h_flip,v_flip,pixel_auroc,pixel_aupro,image_auroc,image_ap
0,0,0.0,0.0,0,0,0,0.958193941143526,0.8757684222971492,0.8950937375349022,0.9782125440863731
0,0,0.0,0.0,0,0,1,0.9581939522957978,0.8757662608085444,0.8950937375349022,0.9782125440863731
0,0,0.0,0.0,0,1,0,0.9581939404220045,0.875767571316713,0.8950937375349022,0.9782125440863731
0,0,0.0,0.0,0,1,1,0.9581939372256773,0.8757675236085847,0.8950937375349022,0.9782125440863731
0,0,0.0,0.0,30,0,0,0.958193941365912,0.8757675181536819,0.8950937375349022,0.9782125440863731
0,0,0.0,0.0,30,0,1,0.9581939388282136,0.8757675462733701,0.8950937375349022,0.9782125440863733
0,0,0.0,0.0,30,1,0,0.9581939463433866,0.875766271413074,0.8950937375349022,0.9782125440863733
0,0,0.0,0.0,30,1,1,0.9581939453352254,0.8757661199501907,0.8950937375349022,0.9782125440863733
0,0,0.0,0.2,0,0,0,0.958193948744841,0.8757675068322363,0.8950937375349022,0.9782125440863733
0,0,0.0,0.2,0,0,1,0.958193950586288,0.8757676597714079,0.8950937375349022,0.9782125440863733
0,0,0.0,0.2,0,1,0,0.9581939447949521,0.8757675530168421,0.8950937375349022,0.9782125440863733
0,0,0.0,0.2,0,1,1,0.9581939538922691,0.8757661688134737,0.8950937375349022,0.9782125440863733
0,0,0.0,0.2,30,0,0,0.9581939408255503,0.8757670430617477,0.8950937375349022,0.9782125440863733
0,0,0.0,0.2,30,0,1,0.9581939407419581,0.8757661860644501,0.8950937375349022,0.9782125440863733
0,0,0.0,0.2,30,1,0,0.9581939462639698,0.8757661823952625,0.8950937375349022,0.9782125440863733
0,0,0.0,0.2,30,1,1,0.9581939348743699,0.8757661390603603,0.8950937375349022,0.9782125440863733
0,0,0.5,0.0,0,0,0,0.9581939395439777,0.8757674535825719,0.8950937375349022,0.9782125440863733
0,0,0.5,0.0,0,0,1,0.9581939458455254,0.8757674868828832,0.8950937375349022,0.9782125440863733
0,0,0.5,0.0,0,1,0,0.958193947102661,0.8757675479478435,0.8950937375349022,0.9782125440863733
0,0,0.5,0.0,0,1,1,0.9581939428519817,0.8757674938896283,0.8950937375349022,0.9782125440863733
0,0,0.5,0.0,30,0,0,0.9581939450053395,0.8757674979562942,0.8950937375349022,0.9782125440863733
0,0,0.5,0.0,30,0,1,0.95819394062826,0.8757661502509441,0.8950937375349022,0.9782125440863733
0,0,0.5,0.0,30,1,0,0.9581939461380539,0.8757675072388731,0.8950937375349022,0.9782125440863733
0,0,0.5,0.0,30,1,1,0.9581939392900813,0.8757674714831865,0.8950937375349022,0.9782125440863733
0,0,0.5,0.2,0,0,0,0.9581939407441116,0.8757675538303704,0.8950937375349022,0.9782125440863733
0,0,0.5,0.2,0,0,1,0.958193945810981,0.8757661146483645,0.8950937375349022,0.9782125440863733
0,0,0.5,0.2,0,1,0,0.9581939581140305,0.8757662104100634,0.8950937375349022,0.9782125440863733
0,0,0.5,0.2,0,1,1,0.958193948214456,0.8757661523069045,0.8950937375349022,0.9782125440863733
0,0,0.5,0.2,30,0,0,0.9581939323676131,0.8757675524547249,0.8950937375349022,0.9782125440863733
0,0,0.5,0.2,30,0,1,0.9581939437009129,0.8757675365384167,0.8950937375349022,0.9782125440863733
0,0,0.5,0.2,30,1,0,0.9581939492198925,0.8757675040909095,0.8950937375349022,0.9782125440863733
