brightness,contrast,saturation,hue,rotation,h_flip,v_flip,noise_mean,noise_std,pixel_auroc,pixel_aupro,pixel_f1,pixel_sensitivity,pixel_specificity,image_auroc,image_ap,image_f1,image_sensitivity,image_specificity
0,0,0,0,0,0,0,0,0,0.7315924031782843,0.7079477955070524,0.32759873008030876,0.7101245001724521,0.6515854352010918,0.9237536656891495,0.9817850839548088,0.9368421052631579,,
0,0,0,0,0,0,0,0,0.1,0.7316173511518321,0.7080021269730891,0.3276202137527439,0.7103064945151386,0.6514998680518584,0.9242424242424243,0.9819002512001207,0.9368421052631579,,
0,0,0,0,0,0,0,0,0.2,0.7315917516645059,0.7079770867648725,0.32759509392040553,0.7104403626942575,0.6513650383053402,0.9237536656891496,0.9817850839548088,0.9368421052631579,,
0,0,0,0,0,0,0,0.1,0,0.731610745049443,0.7079809332954827,0.3276088046983157,0.7102854738919712,0.6514940681335493,0.9237536656891495,0.9817850839548088,0.9368421052631579,,
0,0,0,0,0,0,0,0.1,0.1,0.7316071447100332,0.7079766872985369,0.32760788320012935,0.7112532523191141,0.6508367685307298,0.9242424242424243,0.9819002512001207,0.9368421052631579,,
0,0,0,0,0,0,0,0.1,0.2,0.7315926929192081,0.7080047474491467,0.3275960597923889,0.7118307662819248,0.6504246806640231,0.9237536656891495,0.9817850839548088,0.9368421052631579,,
0,0,0,0,0,0,0,0.2,0,0.7315946197583099,0.7080085174312807,0.32759679660985735,0.710986622309464,0.6509979181597021,0.9237536656891495,0.9817850839548088,0.9368421052631579,,
0,0,0,0,0,0,0,0.2,0.1,0.7316070281839671,0.7079794833424838,0.32760481440896544,0.7114244597630699,0.6507153740380166,0.9237536656891495,0.9817850839548088,0.9368421052631579,,
0,0,0,0,0,0,0,0.2,0.2,0.7315907201203707,0.7079935231568609,0.32760014203775734,0.7106527816231074,0.6512299883087596,0.9242424242424243,0.9819027576542401,0.9368421052631579,,
